description,year
"The presence of the Islamic State (ISIS) in Kashmir is not that big but attempts are being made by anti-national elements to radicalise a section of the youth with the global terror groups ideology, Director General of Police (DGP) Dilbag Singh said on January 2, reports Daily Excelsior. The DGPs remark came days after a group of youngsters, carrying ISIS flags, forcibly entered the historic Jamia Masjid in Srinagar and created a ruckus. A very serious attempt on part of anti-social and anti-national elements is on to radicalise a section of the youth to the extent possible. The presence (of ISIS) is not that big but the fact that people are being radicalised along those lines cannot be denied, the Jammu and Kashmir DGP said.",2019
"The Union Minister of Home Affairs [UMHA] on January 2 informed the Parliament that Pakistan-based terrorist organisations are training their operatives for underwater strike capabilities for samudri jihad [Sea-borne Jihad] for infiltration into India by Sea to carry out terrorist attacks, report The Times of India. Earlier [date unspecified], the Intelligence Bureau [IB] had informed the State Police agencies and the government that Pakistan-based Lashkar-e-Taiba [LeT] and Jaish-e-Mohammad [JeM] are giving specialized underwater training to their operatives, informed UMHA. However, as per the available information, there are no specific inputs that any terrorist group planning a 26/11 type Mumbai terror attack on ports, cargo ships and oil tankers in the high Seas, said the Union Minister of State for Home Affairs [UMoSHA] Hansraj Ahir in the Parliament.",2019
"Government of India (GoI) clarified that there is no plans to extend Assams National Register of Citizens (NRC) to other parts of the country, reports Assam Tribune on January 3. Replying to a question in Rajya Sabha, Union Minister of State for Home Hansraj Ahir said that the NRC of 1951 in Assam is being updated under the provisions of the Citizenship Act, 1955, and the applications for preparation of the NRC in Assam were invited in May-August, 2015.Ahir said the complete draft NRC was published on July 30 last year after necessary scrutiny and verification. He said the claims and objections on the draft NRC were invited till December 31 and after the disposal of claims and objections, the NRC is to be finalised as per the timelines approved by the Supreme Court.",
"Additionally, Union Home Minister Rajnath Singh stated that Government will set up a high-level committee to look into the implementation of Clause 6 of the Assam Accord which envisaged that appropriate constitutional, legislative and administrative safeguards shall be provided to protect, preserve and promote the cultural, social, linguistic identity and heritage of the Assamese people, reports Indian Express on January 3. The Minister also stated that it was very important from the perspective of Assam. The composition and terms of reference of the committee, which will also look at issues related to the Bodo community, will be announced later. Singh also added that the committee will hold discussions with all stakeholders and assess the required quantum of reservation of seats in the Assam Assembly and local bodies for Assamese people. It will also look at measures to protect Assamese and other indigenous languages of Assam, reservation in state government jobs, and other steps to protect, preserve and promote cultural, social, linguistic identity and heritage of Assamese people.",2019
"Over a dozen protesters were injured as stone-pelting clashes broke out in Tral area of Pulwama District after the killing of the three militants, adds Daily Excelsior. The protesters mostly youth took to the streets and pelted stones on the SFs. The SFs deployed near the encounter site used tear gas canisters to disperse the youth who were pelting stones on them.",2019
"SFs arrested a Maoist in Palamu District of Jharkhand on January 3, reports Times of India. Palamu, Superintendent of Police (SP), Inderjit Mahata said Police arrested a Maoist identified as Sudeshwar Bhuyan from a place under Manatu Police Station area, adding, Bhuyan was absconding for the last 15-years.",2019
"SFs seized explosives during a separate anti-Naxal[Left Wing Extremism, LWE] operation in Latehar District of Jharkhand on January 3, reports Times of India. Latehar, SP, Prashant Anand said that during an anti-Naxal operation the SFs recovered a cache of explosives from Ranidah forest under Chipadohar Police Station limits in the District. Five Improvised Explosive Devices (IEDs), three grenades, three bundles of cortex wire, two bundles of electric wire were recovered during the operation, Anand said.",2019
"The movement of Biswamohan Debbarma faction of National Liberation Front of Tripura (NLFT-BM) militants has commenced afresh through unfenced areas of the state's 856 km long Indo- Bangladesh border, reports Tripurainfo on January 3. The movement of the militants has been noticed in remote Khantlang area of North Tripura, Gandacherra in Dhalai district and Sonamura in Sipahijala district. Remote Raisyabari and Simna also figure in the list of vulnerable ingress points into the state. Official sources said that out of the 856 km length of the border, altogether 70 km is still unfenced and these areas are prone to infiltration from across the border. Besides, there has been no floodlighting along the border except in some areas.",2019
"The National Investigation Agency [NIA] on January 3 arrested Naeem [21]—an Arms supplier to the operatives of Islamic State [IS]-inspired group—Harkat-ul-Harb-e-Islam [HuHI] from Meerut, reports Business Standard. Allegedly, Naeem was an Arms supplier to the 10 operatives of HuHI arrested by the NIA on December 26.",2019
"Three militants were killed and a soldier was injured in an encounter in Tral area of Pulwama District on January 3, reports Daily Excelsior. The slain militants were identified as Zubair Ahmad Bhat alias Abu Huraira, Shakoor Ahmad Parray alias Jaffar, and Tawseef Ahmad Thoker alias Abu Talha (all of them local residents). According to Police sources, it was a combined group of Jaish-e-Mohammed (JeM) and Hizb-ul-Mujahideen (HM). Zubair was affiliated with JeM while Shakoor and Tawseef were affiliated with HM. Zubair and Tawseef were active since May last year (2018) while Shakoor joined militancy in October 2017. Security Forces (SFs) recovered incriminating materials including arms and ammunition from the site of encounter. The arms include one AK-47 rifle, one SLR and one pistol.",2019
"A grenade exploded near gate of a residential house at Hiruhanba Leikai in Imphal West District, reports Imphal Free Press on January 4. The explosion targeted the house of a Government contractor identified as YumnamTomba.",2019
"At least one Communist Party of India-Maoist (CPI-Maoist) cadre killed in an encounter with the Security Forces (SFs) in the Kurkheta forest area in Chatra District of Jharkhand on January 4, reports Business Standard.Acting on a tip-off, a joint team of Police and Central Reserve Police Force (CRPF) personnel launched a search operation in the region when they were fired on by a group of Maoists of the Koleshwari Zone hiding there. The SFs retaliated to the firing. Later, the joint team recovered one INSAS (Indian Small Arms System) assault rifle from the encounter spot.The identity of the slain Maoist is yet to be ascertained.",2019
"Brother of a Sarpanch (village level local self- government institution head) of Khassipora area of Tral in Pulwama District was killed by unidentified gunmen in his native village after they opened firing at him on January 4, reports Daily Excelsior. The deceased, identified as Simranjeet Singh, was critically wounded after he was shot at and was removed to medical facility, where he succumbed to injuries. His brother Rajinder Singh is Sarpanch of Khassipora Tral. He was associated with Congress party but had later contested as an Independent candidate.",2019
"Five Myanmarese Rohingyas who were arrested under the Foreigners Act for illegally entering India were handed over on January 4 to the Myanmar Immigration Office, at Moreh in Tengnoupal reports Imphal Free Press. The Rohingyas were arrested by Assam Police and lodged in Tezpur Jail for around seven years. After having served their respectively terms, they were released and brought under heavy security by Assam Police to Moreh.",2019
"Indian Prime Minister (PM) Narendra Modi on January 4 stated that Government of India (GoI) government is committed to passing the Citizenship (Amendment) Bill, 2016, and assured that no genuine Indian citizen will be left out of the updated National Register of Citizens (NRC), reports Indian Express.",2019
"On January 4 a lieutenant colonel of Zeliangrong United Front (ZUF) was arrested from Namching village in Imphal West District, reports Imphal Free Press. The identity of the arrestee is currently not available. According to authorities, the individual is an active cadre of ZUF and had joined the outfit in August 2011. The individual has been involved in a number of extrajudicial activities in the area of Noney District.",2019
"Pakistan army resorted to heavy shelling and firing along Line of Control (LoC) in Mankote sector of Poonch District targeting forward posts of the troops and civilian areas on January 4 night, reports Daily Excelsior. Reports said Pakistani troops started heavy mortar shelling and firing in Mankote sector at around 9.30 p.m. The Indian side retaliated effectively, leading to exchanges. Several mortar shells exploded in civilian areas. However, there were no reports of any casualties or damage on the Indian side immediately.",2019
"The Afghanistans National Security Advisor [NSA]—Hamdullah Mohib and Indias NSA Ajit Doval on January 4 held talk over Indias role in Afghanistans development, reports The Times of India. The Afghanistans NSA appreciated Indias development assistance mainly reconstruction projects in Afghanistan. NSA Mohib has appreciated Indias involvement for economic development and reconstruction of Afghanistan, also, human resource development, including the training of Afghanistans National Defence and Security Forces in India, read a statement released by the Ministry of External Affairs [MEA].",2019
"The Anti-Terrorism Squad [ATS] on January 4 has recovered INR 61.82 lakh of Hawala [illegal transfer of money] from a man [identity undisclosed] at Ajmer Bus terminal in Ajmer District of Rajasthan, reports The Times of India. The ATS officials have informed the Income Tax [I-T] Department for further investigations.",2019
"The Assam Government welcomed GoIsdecision to set up a high-level committee for implementation of Clause 6 of the Assam Accord, even as the All Assam Students Union (AASU), a signatory of the tripartite 1985 Accord, said the announcement was politically motivated, reports Indian Express on January 4. In a press statement Assam Chief Minister SarbanandaSonowal stated that The decision… will go a long way in securing the future of all indigenous communities. Samujjal Bhattacharya, Advisor to AASU, which spearheaded the six-year-long movement against illegal migrants (1979-1985), said the committee was not a new thing. He said the committee was announced to cover up the fact that passing the Citizenship (Amendment) Bill, 2016 would violate the Assam Accord. The announcement is to mislead people, said All Assam Students Union (AASU) General Secretary LurinjyotiGogoi.",2019
"The Border Security Force [BSF] officials on January 4 arrested a Pakistan national—Riasat Ali, for intruding into the Indian territory at India-Pakistan International Border [IB]s Mullekot Border Outpost, reports The Tribune. Riasat Ali is a resident of Sardakot in Pakistan. The BSF officials recovered PKR 145 [Pakistani rupees], a cigarette box, and a banner from his possession. However, no objectional object was recovered from his possession. The preliminary investigation has revealed Riasat Alis unstable mental condition. The police have registered a case under Sections 3, 34 and 20 of the Indian Passport Act [IPA] and Section 14 of the Foreign Act [FA]. The Court has sent him to Judicial custody and his medical examination will be conducted.",2019
"The Communist Party of India-Maoist (CPI-Maoist) cadre killed in an encounter with the Security Forces (SFs) in the Kurkheta forest area under Zori-Hunterganj Police Station limits in Chatra District of Jharkhand on January 4, was identified as Chander Singh Bhoktaaka Ganju, reports Hindustan Times on January 5. Ganju a native of Birlutudag village under the Rajgir Police Station of the District, was an area commanderassociated with the Maoist squad in the Koleshwari zone on Jharkhand-Bihar borders. Chatra Additional Superintendent of Police (ASP), operations, Nigam Prasad said, The encounter has ended and the body of the killed ultra has been retrieved. The search operation in the area also yielded an INSAS rifle. He also claimed to have inflicted more damage on the Maoist group in the fierce exchange of fire.",2019
The Sentinel on January 4 reports that a missing youth identified as Auranav Gogoi is suspected to have joined United Liberation Front of Asom-Independent (ULFA-I). He hails from Borhat village under Charaideo District. According to sources the individual was missing since December 28. Another youth from same area identified as Nilutpal Tamuli who has been missing since December 25 is also suspected to have joined ULFA-I.,2019
"The Supreme Court (SC) on January 4 rejected the plea of Syed Shahid Yousuf, son of Hizb-ul-Mujahideen (HM) founder and a specially designated global terrorist Syed Salahuddin, challenging the Delhi High Court order dismissing his bail petition in a terror funding case, reports The Tribune. The SC said that once the trial court had granted extension of time to the National Investigation Agency (NIA) to complete the investigation in the case, the accused was not entitled to statutory bail.",2019
A cadre belonging to Ranjan Daimari faction of the NDFB was shot dead by SFs near Belsiri tea estate under Misamari Police Station in Sonitpur District on January 5. The SFs were reportedly assisted by cadres belonging to pro-talks faction of the NDFB.,2019
"A Central Reserve Police Force (CRPF) trooper was injured in a gunfight with the militants in Aripal village of Tral in Pulwama District on January 5 while militants fled away, reports Daily Excelsior. According to sources, a massive search operation was launched by Security Forces (SFs) in Aripal area on January 5. The holed-up militants fired on SFs during searches of the village, triggering an encounter. Sources said that 2-3 militants including Hizb-ul-Mujahideen (HM) commander, Hammad Khan, were initially believed to be trapped in the area. The house in which they were trapped was raised to rubble and security forces believed that they had killed one of the militants but no body was recovered from the debris of the house. SFs late in the evening again conducted searches of the nearby houses but no militant was found. The operation was later called off.",2019
"A linkman of United Liberation Front of Asom-Independent (ULFA-I) was arrested on January 5 by Security Forces (SFs) from Makum in Tinsukia District, reports Northeast Now. The arrestee has been identified as Karuna Gogoi. SFs recovered one pistol along with a magazine and live ammunition from the arrestee who was involved in extorting money from tea gardens.",2019
"All Arunachal Pradesh Students Union (AAPSU) welcomed Government of Indias decision to amend list of scheduled tribes in Arunachal Pradesh, reports Times of India on January 5. AAPSU General Secretary stated that The amendment, if duly approved, will be beneficial, especially for the numerous indigenous tribes of eastern districts of Arunachal Pradesh who were until today classified under the vague and ambiguous terminology of 'Any Other Naga-Tribes'. Such improper classification of these tribes was a historical blunder which resulted in numerous hardships and a sort of identity crisis for them.",
"GoI had amended the Constitution (Scheduled Tribes) Order (Amendment) Bill, 2018 to amend the the Constitution (Scheduled Tribes) Order of 1950. The bill seeks revision in the list of scheduled tribes of Arunachal Pradesh - it proposes the inclusion of Nocte, Tangsa, Tutsa, Wancho in lieu of 'Any Naga Tribes'. It also calls for the deletion of 'Abor', replacing Khampti by Tai Khamti, inclusion of Mishmi-Kaman (Miju Mishmi), Idu (Mishmi) and Taraon (Digaru Mishmi), and inclusion of Monpa, Memba, Sartang and Sajolong (Miji) in lieu of Momba. Arunachal Pradesh government had earlier sent a proposal to the Centre to amend the list of scheduled tribes. The state had proposed doing away with the category of 'any Naga tribe' and replacing it with Nocte, Tangsa, Tutsa and Wancho.",2019
"Cadres of the Communist Party of India-Maoist (CPI-Maoist) shot dead a guard of a road construction firm at Patiamba under Phulbani Sadar Police Station limits, suspecting him to be a Police informer, in Kandhamal District of Odisha on January 5, reports NDTV. Police said the Maoists also set ablaze three tractors, a road roller and a truck at the construction site. The construction of the road was being carried out under the Pradhan Mantri Gram Sadak Yojana (PMGSY) scheme.The Maoists then took the guard identified as, Rabindra Mallick, to the nearby forest and then shot him dead, Police added. Police said the Maoists put up leaflets near the site that mentioned that the attack was carried out by the Kandhamal-Kalahandi-Boudh-Nayagarh (KKBN) division of the CPI-Maoist.",2019
"District Police arrested seven cadres of the Communist Party of India-Marxist Leninist-Janashakti (CPI-ML-Janashakti), who threatened a Government employee to pay INR 1.5 million, from Siddipet District of Telangana on January 5, reports The Hindu.Police said, a complaint was lodged on January 2 with Kuknoorpally Police by a person stating that he was directed to pay the amount and he agreed to pay only INR 50,000 for which the accused agreed and asked him to pay the amount to one MallaGoud.Police tracked the movements of Malla Goud and arrested the seven cadres, M. Lakshmi Narasimha, Y. Ramulu, V. Santosh, G. Mahender, D. Malla Goud, R. Rajashekar and A. Mallesham Goud. Police also seized .32 pistol, 35 live rounds, two magazines and five mobiles from their possession.",2019
"Pakistan army fired mortar shells at forward posts and civilian areas along the Line of Control (LoC) in Poonch District on January 5, reports Daily Excelsior. The number of ceasefire violations by Pakistani troops along the LoC and the International Border (IB) in Jammu and Kashmir in 2018 was the highest at over 1,600.",2019
"Police busted a Hizb-ul-Mujahideen (HM)module involved in purchase and supply of arms and ammunition to the outfit to carry out terrorist activities in Jammu and Kashmir by seizing a truck and arresting two Over Ground Workers (OGWs) of HM at Lakhanpur in Kathua District on January 5 night, reports Daily Excelsior.A sum of INR 71,000 belonging to the banned terror outfit of HM was recovered, Police said, adding that two OGWs of HM were arrested from the truck.They were identified as Nissar Ahmed and Aaqib (driver), both residents of Chersoo in Awantipora in Pulwama District.",2019
"Senior Communist Party of India-Maoist (CPI-Maoist) leaders including Divisional Committee Member (DCM) Ch Lakshmi Narayana Reddy aliasNarasimhulu and Area Committee Member (ACM) S Durga Devi (39) surrendered before Superintendent of Police (SP), A Babujiin Visakhapatnam District on January 5, reports The Hans India. Narasimhulu joined the Maoist party in 1994 and worked in various capacities at various places. During an exchange of fire in 1997 at Rayavaram in Kadapa District, he was severely injured and the Police had arrested him.After getting released on bail, he again joined in the Maoist party and also worked as deputy commanderin Talakonadalam(armed squad) of Chittoor District. There are several cases registered against him including murder cases. He was involved in several exchanges of fire incidents at various places. He was also actively involved in looting weapons from Police from the YelamandaPolice outpost. The other Maoist Durga had joined the Maoists in 2003. After party instructions, she stayed at Barampuram of Odisha and served in the party by providing information about the Police. Due to health and other issues, they both surrendered before the Police.",2019
"Seven Communist Party of India-Maoist (CPI-Maoist) cadres surrendered in Gadchiroli District of Maharashtra, the Police said, reports NDTV on January 5. The Maoist cadres carried a total cash reward of INR 31.50 lakh on their heads.",2019
"The Enforcement Directorate (ED) on January 5 filed a charge sheet in a Delhi court against Shabbir Ahmad Lone, a suspected member of the banned terrorist outfit Lashkar-e-Toiba (LeT), for his alleged involvement in a money laundering case, reports Daily Excelsior. The ED attached foreign currency, under the Prevention of Money Laundering Act (PMLA), that was recovered from Lone which, it said, was meant for the purpose of terrorist activities in India. Lone was arrested by the Special Cell of Delhi Police in 2007 from the Chandni Chowk area in New Delhi.",2019
"Alert border troops foiled an infiltration bid in Ramgarh sector of Samba District on January 6 night, reports Daily Excelsior. Border Security Force (BSF) troops on seeing a suspicious movement fired few rounds near Fatwal post in Ramgarh sector of Samba District, sources said.They said that the Pakistani Rangers also fired some rounds to give cover to the infiltrators, adding, BSF troops effectively fired and pushed intruders back to successfully foil an attempt of infiltration. No injury or damage has been reported on the Indian side in cross border firing.",2019
"All Assam Students Union (AASU) has called an 11-hour strike on January 8 in Assam in protest against the Citizenship (Amendment) Bill, 2016, reports The Telegraph. The North East Students Union (NESO) also called a strike over the issue on that day across the Northeast. Both the strikes will be held from 5am till 4pm. The protesters also called January 7, the day on which the Joint Parliamentary Committee (JPC) on the bill is expected to table its report up for debate in the ongoing winter session of Parliament, a black day. AASU president Dipanka Kumar Nath stated that We will burn copies of the report as part of our protest on January 7. Assams people will never allow this bill to be implemented. We have also organised a mass gathering in Guwahati where people from all walks of life are expected to join. All Arunachal Pradesh Students Union (AAPSU) on January 5 stated that it would support the Northeast bandh called by NESO.",2019
"An alleged Babbar Khalsa operative, Bhupinder Singhalias Dilawar, wanted in a May 2017 case in Punjab, has been deported to India by Saudi Arabia, reports Indian Express on January 6. The operative was produced in the court of a duty magistrate on January 6 and remanded to six days in police custody.Bhupinder Singh was fund raiser for the organisation. Punjab Police had sent a request to Interpol for issuance of a Red Corner Notice (RCN) against him in 2017, said an officer requesting anonymity.",2019
"Army sources stated that on January 6, a suspected spy of Pakistans Inter Service Intelligence (ISI) was arrested from Anjaw District, reports Assam Tribune. The arrestee has been identified as Nirmal Rai who is a resident of Tinsukia District on Assam. Director General of Police (DGP) stated that Rai worked at a burger shop in Dubai between 2016 and 2018 before moving to Kibithu. An Army Personnel added that He was involved in passing on sensitive information on location and deployment of Army units, weapon profiles and artillery guns at Kibithu (in Anjaw District), as well as infrastructure development along the Line of Actual Control (LAC).",2019
"District Police arrested an alleged Naxalite of Communist Party of India-Marxist Leninist-Janashakti (CPI-ML-Janashakti)armed group, identified as Vavilala Saikumar,from Kodimyala Mandal in Jagtial District in Telangana on January 6, reports The News Minute. The Police also seized .32 pistol,19 bullets, two magazines and two cell phones from his possession.",2019
"Failure to curb infiltration from across the Line of Control (LoC) and putting a check on local recruitment of youths in terror groups remain a constant source of worry for security agencies in militancy-hit Jammu and Kashmir, officials said on January 6.Analyzing the trends of 2018, it has been seen that infiltration figures continue to remain unchanged as around 140 terrorists successfully sneaked into the Kashmir Valley, majority of whom are believed to be of Jaish-e-Mohammed (JeM) terror group, they said.Although around 110 terrorists were killed during infiltration, the successful number of cross overs continues to worry the security agencies. During recent meetings of Army and BSF officials, it has been brought to the notice that the counter infiltration grid needs to be further strengthened as militants may try and sneak in during the peak winters as well.It is not only the Line of Control, which stretches from Poonch in Jammu to Kupwara in Kashmir, but also international border, which has been exploited by the terror groups, said a senior security official.",2019
"Indian agencies will have to wait a little longer before Tahawwur Rana, a key accused in the 26/11 Mumbai terror attack case is extradited from US, reports The Hindu on January 6. National Investigation Agency (NIA) team that was in the U.S. a few days ago to seek the extradition of Rana, a close associate of David Coleman Headley, has been given an indication that Rana has to first complete his jail sentence. Rana, who was arrested in 2009, is serving a 14-year prison term in the U.S. for providing material support to terror outfit Lashkar-e-Taiba (LeT), which planned and executed the attacks.Though he was sentenced to 14 years in jail in 2013 by a U.S. district court, his jail term would also include the period he has already served in prison and would come to an end in 2023. A senior official stated that NIA team went to the U.S. in relation to the extradition request of Rana. Its a quasi-judicial process so no one can predict when he would be extradited. He is now serving a sentence there and we have been assured that the extradition could take place closer to the date when he completes his jail sentence in the U.S. Minister of State Gen. V.K. Singh (retired) told the Lok Sabha last week that the Government of India had engaged with relevant U.S. authorities, under terms of the India-U.S. Extradition Treaty of 1997, for extradition of U.S.-based individuals for their role in the November 26, 2008, terrorist attacks in Mumbai. The Minister also added that These consultations have been held by means of meetings/visits and teleconferences. Most recently, a team from the NIA visited the U.S. on December 13-15, 2018, for discussion with the U.S. authorities.",
"The double jeopardy clause in U.S. law prohibits punishment for the same crime twice, so India renewed its bid to seek Ranas custody on the ground that he was actively involved in planning an attack on the National Defence College in Delhi and Chabad Houses (Jewish religious centres) in several cities.Rana, a Chicago-based businessman, helped Headley open an immigration firm in Mumbai, which was a cover to conduct reconnaissance on possible targets that were attacked on November 26, 2008.Rana was a school friend of Headley from Pakistan. According to the FBI, after the 26/11 Mumbai attacks, Headley visited India again in March 2009 to conduct additional surveillance, including of the National Defence College (NDC) in Delhi and of Chabad Houses.NIA also has registered a forgery case against Rana for opening the immigration centre based on fake documents.",2019
"The Telangana Police arrested a leader of the Chandranna faction of the Communist Party of India-Marxist-Leninist-New Democracy (CPI-ML-New Democracy-Chandranna),identified as Singaboyina Veerabhadram alias Ramanna, near Vennaram lake of Dornakal Mandal(administrative sub-division)in Bhadradri Kothagudem District Telangana on January 6, reports The News Minute.According to the Mahabubabad Police, Veerabhadram along with Ashoka, Bejjam Prathap and others came in plain clothes after hiding their guns near a lake. The Police statement said, Veerabhadram's group was talking with other members of the party about the upcoming Panchayat polls in the State. Circle Inspector (CI),Dornakal, J Shyam Sundar and Sub-Inspector (SI), Ravinder, along with a special party reached the spot, arrested Veerabhadram while seizing a bag. As per the information given by Veerabhadram, the Police recovered a Self-Loading Rifle (SLR), a magazine and 20 rounds of bullets.Along with rifles, the Police also seized some books which they claim are prohibited, and a laptop.",2019
"A zonal committee member of Communist Party of India-Maoist (CPI-Maoist), carrying a reward of INR one million on his head was arrested along with arms and ammunition from an area under Bhelwaghati Police Station limits in Giridih District of Jharkhand late on January 7, reports The Pioneer. The arrested cadre was identified as Darogi Yadav aliasBhupatialiasBahra, native of Paharpur village of Bhelwaghati Police Station of Giridih District, said Superintendent of Police (SP), Surendra Kumar Jha.Darogi Yadav was active member of the CPI-Maoist in Jamui in Bihar and Giridih in Jharkhand. He involved in collection of levy (extortion money) from different parts of Giridih and Jamui, the Police official said.Police also recovered one Self Loading Rifle (SLR),263 no of cartridges,2 wireless sets,9 bags of explosives and 5 magazines from his possession.",2019
"A Delhi Court on January 7 extended National Investigation Agency (NIA) custody of five of the 10 people arrested on suspicion of being members of Islamic State (IS) module, reports The Hindu. The court remanded the other five accused in judicial custody after the agency said they were not required for custodial interrogation. The group was reportedly planning suicide attacks and serial blasts, targeting politicians as also government installations, in Delhi and other parts of north India. The court extended the NIA custody of Mufti Mohammed Suhail alias Hazrath (29) and Saqib Iftekar (26) till January 12.Zubair Malik (20), Rashid Zafar Raq alias Zafar (23) and Anas Yunus (24) were sent to further custodial interrogation till January 10.The others — Zubairs brother Zaid (22), Saeed alias Sayeed (28), his brother Raees Ahmad, Mohammed Irshad (in late 20s) and Mohammed Azam (35) — were sent to judicial custody till February till February after the NIA did not seek their further remand.They were earlier produced before the court on December 27 after which they were sent to 10-day NIA custody which expired on January 7.The probe agency had initially rounded up 16 persons of the group Harkat ul Harb e Islam, which loosely translates into war for the cause of Islam.Of the 16 detained, 10 were later arrested — five from Amroha, in Uttar Pradesh (U.P) and five from Seelampur and Jafrabad localities in north-east Delhi.",2019
